DATE,CPIAUCSL_PC1,USAGDPRQPSMEI
1990-01-01,5.23288,2.82100652648329
1990-04-01,4.58345,2.41270496419314
1990-07-01,5.56447,1.72736225036868
1990-10-01,6.27648,0.603062734039348
1991-01-01,5.25905,-0.950197394625828
1991-04-01,4.84661,-0.538930795811725
1991-07-01,3.85200,-0.10280887034221001
1991-10-01,2.96536,1.16640116559107
1992-01-01,2.89389,2.85893691224886
1992-04-01,3.07352,3.16983581451137
1992-07-01,3.07467,3.66538544145229
1992-10-01,3.12197,4.38264538899327
1993-01-01,3.17308,3.3199058070509904
1993-04-01,3.12500,2.8066682071459503
1993-07-01,2.81723,2.2865117406066098
1993-10-01,2.76930,2.60771075993821
1994-01-01,2.53961,3.43070693604318
1994-04-01,2.38260,4.22561068983227
1994-07-01,2.85517,4.33704825493615
1994-10-01,2.60333,4.11616702142988
1995-01-01,2.84026,3.4814056272920095
1995-04-01,3.09535,2.40237510080171
1995-07-01,2.66398,2.67332581551798
1995-10-01,2.62631,2.1997916299495297
1996-01-01,2.78392,2.60130984665923
1996-04-01,2.82709,4.00237948422372
1996-07-01,2.90013,4.05013488717774
1996-10-01,3.23140,4.421452442981121
1997-01-01,2.94497,4.31406894430697
1997-04-01,2.30179,4.31127171595187
1997-07-01,2.22505,4.67470249234035
1997-10-01,1.89076,4.48355281603121
1998-01-01,1.48256,4.85552688331087
1998-04-01,1.58333,4.09279008633521
1998-07-01,1.59619,4.10345272756576
1998-10-01,1.52577,4.88312656852576
1999-01-01,1.68724,4.81633679273399
1999-04-01,2.11239,4.72188591222805
1999-07-01,2.34646,4.79111824673229
1999-10-01,2.61982,4.823574270732981
2000-01-01,3.25779,4.22474486123303
2000-04-01,3.29383,5.244456811135509
2000-07-01,3.46890,3.9731723525519103
2000-10-01,3.44350,2.90559430950869
2001-01-01,3.40976,2.1975051856706798
2001-04-01,3.32491,0.9962983270431021
2001-07-01,2.67823,0.489236292561104
2001-10-01,1.87488,0.167318293731487
2002-01-01,1.23176,1.33725865676946
2002-04-01,1.31728,1.32537875321597
2002-07-01,1.57628,2.14651698306153
2002-10-01,2.25352,1.9925248221954701
2003-01-01,2.97641,1.67925701247182
2003-04-01,2.00594,1.9550651524723899
2003-07-01,2.21689,3.2311353875128996
2003-10-01,2.00184,4.3004406510574595
2004-01-01,1.81785,4.34195208599671
2004-04-01,2.78587,4.22749121701689
2004-07-01,2.67486,3.49486035623174
2004-10-01,3.38495,3.35110494395479
2005-01-01,3.03517,3.90884325725244
2005-04-01,2.92294,3.61773558016119
2005-07-01,3.81975,3.4485988471708198
2005-10-01,3.67468,2.97273669379129
2006-01-01,3.69087,3.2131067957182204
2006-04-01,3.92427,2.9729038556202103
2006-07-01,3.34012,2.3252779374244903
2006-10-01,1.96540,2.6345603763438197
2007-01-01,2.43165,1.57672497001468
2007-04-01,2.66529,1.9343747200181398
2007-07-01,2.34897,2.36803607730663
2007-10-01,4.03114,2.13336468245788
2008-01-01,4.13704,1.39247120551853
2008-04-01,4.31042,1.3760107660276002
2008-07-01,5.25250,0.265967272128694
2008-10-01,1.59580,-2.54115368842125
2009-01-01,-0.18424,-3.23422729307832
2009-04-01,-0.94214,-3.97883740531871
2009-07-01,-1.60696,-3.1328157006863906
2009-10-01,1.48766,0.10557252348296599
2010-01-01,2.35257,1.7452658449103302
2010-04-01,1.77527,2.9135950291180004
2010-07-01,1.20288,3.34420925377924
2010-10-01,1.22978,2.77596090931248
2011-01-01,2.14822,2.03779719961333
2011-04-01,3.34611,1.74370886455019
2011-07-01,3.71595,0.942653464567231
2011-10-01,3.34473,1.54307587160654
2012-01-01,2.82932,2.6380693108862596
2012-04-01,1.88792,2.40333583913792
2012-07-01,1.68486,2.57371231448803
2012-10-01,1.90357,1.5518520073324702
2013-01-01,1.74020,1.7008684857093999
2013-04-01,1.41472,1.51993820410701
2013-07-01,1.50495,2.23702249329552
2013-10-01,1.20730,3.00914496017461
2014-01-01,1.42991,1.65081755593804
2014-04-01,2.08034,2.68915215872729
2014-07-01,1.79097,3.0597829282016895
2014-10-01,1.16401,2.6858351011456603
2015-01-01,-0.11289,3.9692994988184602
2015-04-01,0.03701,3.2790878609270497
2015-07-01,0.15861,2.44732136643456
2015-10-01,0.40047,2.1198613126648302
2016-01-01,0.99184,1.7950168913806102
2016-04-01,1.11003,1.4932508327147298
2016-07-01,1.15715,1.8057615310855202
2016-10-01,1.80698,2.1815663030563996
2017-01-01,2.58713,2.08746169419669
2017-04-01,1.89059,2.3304137937582703
2017-07-01,1.94494,2.41082141217458
2017-10-01,2.10778,2.99414349676178
2018-01-01,2.24862,3.3288100947591097
2018-04-01,2.68679,3.29896284652202
2018-07-01,2.60892,3.1300306407186698
2018-10-01,2.21352,2.12511075148453
2019-01-01,1.63002,1.9335587266003904
2019-04-01,1.82238,2.242125694698239
2019-07-01,1.74940,2.7972168686428427
2019-10-01,2.04859,3.3517765241980766
